英単語(cluster)	発音記号	意味	例文（ほとんど同じ単語を使用したもの）	例文（少し単語を変更したもの）	補足説明（1単語の意味や一緒に覚えたほうが良い単語等）	セクション
find grammar to be difficult	faɪnd ˈgræmər tu bi ˈdɪfəkəlt	文法を難しいと感じる	Many students find grammar to be difficult.	I find English grammar to be difficult.	find A to be B (find A B): AがBだとわかる（感じる）。grammar: 文法	学校
say the word aloud	seɪ ðə wɜrd əˈlaʊd	その単語を声に出して言う	Please say the word aloud so I can hear.	He read the book aloud to the children.	aloud: 声に出して（副詞）。	学校
multiply 4 by 6	ˈmʌltəˌplaɪ fɔr baɪ sɪks	4に6を掛ける（4×6）	If you multiply 4 by 6, you get 24.	Multiply the length by the width.	multiply A by B: AにBを掛ける（掛け算）。	学校
pronounce a word correctly	prəˈnaʊns ə wɜrd kəˈrɛktli	単語を正確に発音する	It is hard to pronounce a word correctly.	She learned to pronounce the word correctly.	pronounce: 発音する（名詞形は pronunciation）。correctly: 正確に	学校
a regular pattern	ə ˈrɛgjələr ˈpætərn	規則的なパターン（模様）	The wallpaper has a regular pattern.	Look for a regular pattern in the numbers.	regular: 規則的な、定期的な。pattern: パターン、模様	学校
paste a photo on the page	peɪst ə ˈfoʊˌtoʊ ɑn ðə peɪdʒ	ページに写真を貼り付ける	Cut and paste a photo on the page.	She pasted a picture into her scrapbook.	paste: （のりなどで）貼り付ける	学校
scold a child for stealing	skoʊld ə tʃaɪld fɔr ˈstilɪŋ	盗みをしたことで子どもを叱る	The mother had to scold a child for stealing.	He scolded the dog for barking.	scold A for B: BのことでAを叱る	学校
Remind me to check the answers.	rɪˈmaɪnd mi tu tʃɛk ði ˈænsərz	答えをチェックするよう私に思い出させてください（念を押して）	Please remind me to check the answers later.	Remind me to call him.	remind (人) to do: （人）に〜するよう思い出させる（念を押す）	学校
draw a straight line	drɔ ə streɪt laɪn	直線を引く	Use a ruler to draw a straight line.	Can you draw a straight line without a ruler?	draw: （線を）引く、絵を描く。straight: まっすぐな	学校
practice vocabulary frequently	ˈpræktɪs voʊˈkæbjəˌlɛri ˈfrikwəntli	頻繁に語彙（単語）を練習する	You should practice vocabulary frequently.	He practices speaking English frequently.	vocabulary: 語彙。frequently: 頻繁に（= often）	学校
receive a prize	rɪˈsiv ə praɪz	賞を受け取る	He was happy to receive a prize.	She received a prize for her writing.	receive: 受け取る。prize: 賞、賞品	学校
be curious about something	bi ˈkjʊriəs əˈbaʊt ˈsʌmθɪŋ	何かについて好奇心が強い（知りたいと思う）	Children are always curious about something.	I am curious about his new job.	curious: 好奇心の強い、興味がある	学校
compose a poem	kəmˈpoʊz ə ˈpoʊəm	詩を創作する（書く）	He likes to compose a poem in his free time.	She composed a beautiful song.	compose: 創作する、作曲する。poem: 詩	学校
borrow a pen or pencil	ˈbɑroʊ ə pɛn ɔr ˈpɛnsəl	ペンか鉛筆を借りる	Can I borrow a pen or pencil?	He borrowed a book from the library.	borrow: （無料で）借りる	学校
take piano lessons	teɪk piˈænoʊ ˈlɛsənz	ピアノのレッスンを受ける	She used to take piano lessons.	I am going to take piano lessons.	take a lesson: レッスン（授業）を受ける	学校
keep your desk clean	kip jʊər dɛsk klin	自分の机をきれいに保つ	You should always keep your desk clean.	Keep your room clean.	keep + O + C: OをCの状態に保つ	学校
drag a chair across a room	dræg ə tʃɛr əˈkrɔs ə rum	部屋を横切って椅子を引きずる	Don't drag a chair across a room.	He dragged the heavy box.	drag: 引きずる。パソコンの「ドラッグ」と同じ。	学校
ask a question	æsk ə ˈkwɛstʃən	質問をする	Don't hesitate to ask a question.	He raised his hand to ask a question.	「質問を尋ねる」の定番表現。	学校
tell a simple story	tɛl ə ˈsɪmpəl ˈstɔri	簡単な物語を話す	A good teacher can tell a simple story well.	She told a simple story to the baby.	tell a story: 話をする	学校
pretend to study	prɪˈtɛnd tu ˈstʌdi	勉強するふりをする	He would often pretend to study.	She pretended to be asleep.	pretend to do: 〜するふりをする	学校
dismiss the children from class	dɪˈsmɪs ðə ˈtʃɪldrən frʌm klæs	授業から子どもたちを解散させる（帰す）	The teacher will dismiss the children from class early today.	The class is dismissed.	dismiss: 解散させる、解雇する	学校
lend him a book	lɛnd hɪm ə bʊk	彼に本を貸す	I will lend him a book.	She lent me her dictionary.	lend + 人 + 物: （人）に（物）を貸す（過去形・過去分詞 lent）。	学校
a sheet of paper	ə ʃit ʌv ˈpeɪpər	1枚の紙	Can I have a sheet of paper?	He wrote his name on a sheet of paper.	※361番の類似。paper は不可算名詞なので a paper とは言わない（a paper だと「新聞」「論文」になる）。	学校
a picture frame	ə ˈpɪktʃər freɪm	写真立て（額縁）	She put the photo in a picture frame.	I bought a wooden picture frame.	frame: 枠、額縁	学校
play in the school yard	pleɪ ɪn ðə skul jɑrd	校庭で遊ぶ	The kids play in the school yard during recess.	They are running in the school yard.	yard: 庭、中庭。school yard で「校庭」。	学校
divided into several groups	dɪˈvaɪdɪd ˈɪntu ˈsɛvərəl grups	いくつかのグループに分けられた	The class is divided into several groups.	The pie was divided into four pieces.	divide A into B: AをBに分ける	学校
break a rule	breɪk ə rul	ルール（規則）を破る	If you break a rule, you will be punished.	He broke a rule and got suspended.	break: 破る、壊す。反対語は follow/obey a rule。	学校
a foolish thing to do	ə ˈfulɪʃ θɪŋ tu du	するべきではない愚かなこと	That was a foolish thing to do.	Quitting now is a foolish thing to do.	foolish: 愚かな（fool の形容詞形）。	学校
pass the exam	pæs ði ɪgˈzæm	試験に合格する	I studied hard to pass the exam.	He failed to pass the exam.	pass: （試験に）合格する、通過する。反対語は fail。	学校
listening comprehension test	ˈlɪsənɪŋ ˌkɑmpriˈhɛnʃən tɛst	リスニング（聴解力）テスト	We have a listening comprehension test tomorrow.	The reading comprehension test was difficult.	comprehension: 理解力（comprehend の名詞形）。	学校
solve an equation	sɑlv ən ɪˈkweɪʒən	方程式を解く	It took me an hour to solve an equation.	Can you solve this math equation?	solve: 解く。equation: 方程式（equal が語源）。	学校
repeat the same grade	rɪˈpit ðə seɪm greɪd	同じ学年を繰り返す（留年する）	He failed the test and had to repeat the same grade.	She repeated the same grade last year.	repeat: 繰り返す。grade: 学年、成績	学校
drop behind	drɑp bɪˈhaɪnd	遅れをとる	If you miss class, you will drop behind.	He dropped behind in the race.	drop behind: （勉強や競争で）遅れをとる	学校
a specific title	ə spəˈsɪfɪk ˈtaɪtəl	特定のタイトル	Are you looking for a specific title?	The book needs a specific title.	specific: 特定の、具体的な	学校
a particular unit	ə pərˈtɪkjələr ˈjunət	特定の単元（単位）	We will study a particular unit today.	Each chapter focuses on a particular unit.	particular: 特定の。unit: 単元、単位	学校
get a tough assignment	gɛt ə tʌf əˈsaɪnmənt	厳しい（難しい）課題（宿題）を与えられる	We got a tough assignment for the weekend.	This is a tough assignment.	tough: 厳しい、難しい。assignment: 割り当てられた課題、宿題	学校
copy class notes	ˈkɑpi klæs noʊts	授業のノートを写す	Can I copy class notes from yesterday?	He copied class notes from his friend.	class notes: 授業のノート（板書）	学校
a passage from a German novel	ə ˈpæsɪdʒ frʌm ə ˈdʒɜrmən ˈnɑvəl	ドイツの小説の一節	He read a passage from a German novel.	Translate this passage from a German novel.	passage: （文章の）一節、通路。novel: 小説	学校
data is the plural of datum	ˈdeɪtə ɪz ðə ˈplʊrəl ʌv ˈdeɪtəm	dataはdatumの複数形である	Remember that data is the plural of datum.	The word data is the plural of datum.	datum (単数形) → data (複数形)。ただし現代では data を単数扱いすることも多い。	学校
major in engineering at university	ˈmeɪdʒər ɪn ˌɛndʒəˈnɪrɪŋ æt ˌjunəˈvɜrsəti	大学で工学を専攻する	I want to major in engineering at university.	He majored in history.	major in: 〜を専攻する（major は動詞）。engineering: 工学	大学
during the spring term	ˈdʊrɪŋ ðə sprɪŋ tɜrm	春学期の間	I took this class during the spring term.	Exams are held at the end of the spring term.	term: 学期、期間、用語	大学
master a foreign language	ˈmæstər ə ˈfɔrən ˈlæŋgwədʒ	外国語をマスターする（習得する）	It takes time to master a foreign language.	She wants to master a foreign language.	master: 完全に習得する	大学
a highly educated person	ə ˈhaɪli ˈɛdʒəˌkeɪtəd ˈpɜrsən	高度な教育を受けた人	He is a highly educated person.	A highly educated person may still lack common sense.	highly: 高度に。educated: 教育を受けた	大学
translate something into English	trænzˈleɪt ˈsʌmθɪŋ ˈɪntu ˈɪŋglɪʃ	何かを英語に翻訳する	I need you to translate something into English.	She translated the poem into English.	translate A into B: AをBに翻訳する	大学
read French literature	rid frɛntʃ ˈlɪtərəʧər	フランス文学を読む	I enjoy reading French literature.	He studied French literature in college.	literature: 文学	大学
the science department	ðə ˈsaɪəns dɪˈpɑrtmənt	理学部、科学部門	She works in the science department.	The science department got new equipment.	department: 部門、学部	大学
cheat on an examination	tʃit ɑn ən ɪgˌzæməˈneɪʃən	試験でカンニングをする（不正をする）	If you cheat on an examination, you will fail.	He was caught trying to cheat on an examination.	cheat: 不正をする。「カンニング(cunning)」は和製英語。	大学
complain to a professor	kəmˈpleɪn tu ə prəˈfɛsər	教授に文句を言う（苦情を言う）	He decided to complain to a professor about his grade.	Students shouldn't constantly complain to a professor.	complain to + 人: （人）に苦情を言う。professor: 教授	大学
refer to a dictionary	rɪˈfɜr tu ə ˈdɪkʃəˌnɛri	辞書を引く（参照する）	When reading, refer to a dictionary if needed.	I often refer to a dictionary for spelling.	refer to: 〜を参照する、〜に言及する	大学
It was nonsense to me.	ɪt wʌz ˈnɑnsɛns tu mi	それは私には無意味（ナンセンス）だった	His explanation was complete nonsense to me.	It was nonsense to me, so I ignored it.	nonsense: 無意味な言葉、ばかげたこと	大学
never an idle moment	ˈnɛvər ən ˈaɪdəl ˈmoʊmənt	暇な時間（ぼんやりする時間）が全くない	In this job, there is never an idle moment.	With three kids, she has never an idle moment.	idle: （人が）何もしていない、暇な。	大学
review for a test	rɪˈvju fɔr ə tɛst	テストのために復習する	I stayed up late to review for a test.	We need to review for a test tomorrow.	review: 復習する、見直す	大学
stand against the plan	stænd əˈgɛnst ðə plæn	その計画に反対する	Many people stand against the plan.	He took a firm stand against the plan.	stand against: 〜に反対する、抵抗する	大学
Pink cars stand out.	pɪŋk kɑrz stænd aʊt	ピンクの車は目立つ	In a crowd of black vehicles, pink cars stand out.	Her bright dress made her stand out.	stand out: 目立つ、際立つ	大学
stand by a friend	stænd baɪ ə frɛnd	友達を支援する（味方になる）	A true companion will always stand by a friend.	I will stand by a friend in trouble.	stand by: 〜を支持する、味方をする	大学
IQ stands for intelligence quotient.	aɪ-kju stændz fɔr ɪnˈtɛlədʒəns ˈkwoʊʃənt	IQはintelligence quotient（知能指数）の略である	Do you know what IQ stands for? IQ stands for intelligence quotient.	UN stands for United Nations.	stand for: 〜を表す、〜の略である	大学
stand up	stænd ʌp	立ち上がる	Please stand up when the teacher enters.	He stood up to greet me.	stand up: 立ち上がる、立ち向かう	大学
take after my mother	teɪk ˈæftər maɪ ˈmʌðər	母親に似ている	I take after my mother in appearance.	He really takes after his father.	take after: （血縁の年長者に）似ている（resembleと同じ）。	大切な基本動詞
take back what someone said	teɪk bæk wʌt ˈsʌmˌwʌn sɛd	（人）が言ったことを撤回する	You should take back what you said.	I take back what I said; I was wrong.	take back: （言葉や約束を）取り消す、撤回する	大切な基本動詞
take in new information	teɪk ɪn nu ˌɪnfərˈmeɪʃən	新しい情報を取り入れる（理解する）	It's hard to take in new information when tired.	I couldn't take in the bad news.	take in: 取り入れる、理解する	大切な基本動詞
take on new responsibilities	teɪk ɑn nu riˌspɑnsəˈbɪlətiz	新しい責任を引き受ける	I am ready to take on new responsibilities.	He took on extra work.	take on: （責任や仕事を）引き受ける	大切な基本動詞
take out a file	teɪk aʊt ə faɪl	ファイルを取り出す	Please take out a file from the cabinet.	He took out his wallet.	take out: 取り出す、持ち帰る（テイクアウト）。	大切な基本動詞
The plane took off.	ðə pleɪn tʊk ɔf	飛行機が離陸した	The plane took off on time.	Hold on tight, the plane took off quickly.	take off: 離陸する、（服を）脱ぐ	大切な基本動詞
take to someone	teɪk tu ˈsʌmˌwʌn	（人）を好きになる（気に入る）	I quickly took to my new neighbor.	The dog didn't take to him.	take to: 〜を好きになる、〜になつく	大切な基本動詞
take up jogging	teɪk ʌp ˈdʒɑgɪŋ	ジョギングを始める	I decided to take up jogging for my health.	He took up golf recently.	take up: （趣味や習慣を）新しく始める	大切な基本動詞
take over the president's duties	teɪk ˈoʊvər ðə ˈprɛzədənts ˈdutiz	社長（大統領）の職務を引き継ぐ	The vice president will take over the president's duties.	She took over the family business.	take over: 引き継ぐ、乗っ取る	大切な基本動詞
sweatshirt	ˈswɛtˌʃɜrt	スウェットシャツ（トレーナー）	I wear a comfortable sweatshirt at home.	He bought a grey sweatshirt.	日本で言う「トレーナー」は和製英語。	大切な基本動詞
a dress shirt	ə drɛs ʃɜrt	ワイシャツ	He wore a tie and a dress shirt.	You need a clean dress shirt for the interview.	ワイシャツ（white shirt がなまった和製英語）に相当する英語。	大切な基本動詞
try on	traɪ ɑn	試着する	Can I try on this jacket?	She tried on several shoes.	try on: 試着する、試しに履いてみる	服
undo my buttons	ʌnˈdu maɪ ˈbʌtənz	自分のボタンを外す	It's hot, so I will undo my buttons.	He undid the top button of his shirt.	undo: （ボタンなどを）外す、ほどく、元に戻す（過去形 undid）。	服
dress down	drɛs daʊn	カジュアルな服装をする	We are allowed to dress down on Fridays.	You can dress down for the party.	dress down: 普段着を着る（反対語は dress up「着飾る」）。	服
polish a pair of shoes	ˈpɑlɪʃ ə pɛr ʌv ʃuz	一足の靴を磨く	I always polish a pair of shoes before a trip.	He polished his shoes until they shined.	polish: 磨く	服
an elastic waist band	ən ɪˈlæstɪk weɪst bænd	ゴムのウエストバンド	These pants have an elastic waist band.	I prefer skirts with an elastic waist band.	elastic: ゴムで伸縮する、弾力性のある	服
put on stockings	pʊt ɑn ˈstɑkɪŋz	ストッキングを履く	She took time to put on stockings.	It is annoying to put on stockings in summer.	put on: 身につける（靴下やストッキングにも使う）。	服
get the wrong size	gɛt ðə rɔŋ saɪz	間違ったサイズを買う（選ぶ）	I bought this online and got the wrong size.	Be careful not to get the wrong size.	wrong: 間違った	服
3 inches thick	θri ˈɪntʃɪz θɪk	厚さが3インチある	The mattress is 3 inches thick.	The ice is only 3 inches thick.	thick: 厚い	服
6 feet tall	sɪks fit tɔl	身長が6フィート（約183cm）ある	He is over 6 feet tall.	The fence is 6 feet tall.	tall: 身長が〜ある	服
sew a button on a shirt	soʊ ə ˈbʌtən ɑn ə ʃɜrt	シャツにボタンを縫い付ける	I need to sew a button on a shirt.	She learned how to sew a button.	sew: 縫う（過去形 sewed、過去分詞 sewn/sewed）。	服
sharp pins and needles	ʃɑrp pɪnz ænd ˈnidəlz	鋭いピンと針	Be careful with those sharp pins and needles.	I keep my sharp pins and needles in a box.	needle: 針	服
cut a thread	kʌt ə θrɛd	糸を切る	Use scissors to cut a thread.	She cut a thread after sewing the button.	thread: 糸	服
a cotton strap	ə ˈkɑtən stræp	綿のストラップ（紐）	The bag has a strong cotton strap.	I adjusted the cotton strap.	cotton: 綿。strap: （カバンなどの）紐、ストラップ	服
weave cloth	wiv klɔθ	布を織る	They use a machine to weave cloth.	She learned to weave cloth by hand.	weave: 織る（過去形 wove、過去分詞 woven）。cloth: 布	服
a fur coat	ə fɜr koʊt	毛皮のコート	She wore a warm fur coat in winter.	A real fur coat is very expensive.	fur: 毛皮	服
pale pink ribbons	peɪl pɪŋk ˈrɪbənz	淡いピンクのリボン	The gift was tied with pale pink ribbons.	She wore pale pink ribbons in her hair.	pale: 淡い、青白い	服
a formal suit	ə ˈfɔrməl sut	フォーマルな（正式な）スーツ	He bought a formal suit for the wedding.	You must wear a formal suit.	formal: 正式な。suit: スーツ	服
wear a leather belt	wɛr ə ˈlɛðər bɛlt	革のベルトをする	I always wear a leather belt with these pants.	He bought a new leather belt.	leather: 革（レザー）。	服
empty my pockets	ˈɛmpti maɪ ˈpɑkɪts	ポケットの中身を空にする	I have to empty my pockets at security.	He emptied his pockets on the table.	empty: 空にする（動詞）。	服
thick wool socks	θɪk wʊl sɑks	厚手のウールの靴下	I love wearing thick wool socks in winter.	He put on a pair of thick wool socks.	wool: ウール（羊毛）。	服
a jacket with a stiff collar	ə ˈdʒækət wɪð ə stɪff ˈkɑlər	硬い襟のジャケット	He wore a jacket with a stiff collar.	The new shirt has a stiff collar.	stiff: 硬い、こわばった。collar: 襟	服
a thin cotton jacket	ə θɪn ˈkɑtən ˈdʒækət	薄手の綿のジャケット	A thin cotton jacket is perfect for spring.	She wore a thin cotton jacket.	thin: 薄い（thick の反対）。	服
a pearl necklace	ə pɜrl ˈnɛkləs	真珠のネックレス	She received a pearl necklace as a gift.	A pearl necklace matches this dress.	pearl: 真珠	服
tie a tight knot	taɪ ə taɪt nɑt	結び目を固く結ぶ	Make sure you tie a tight knot.	I cannot untie this tight knot.	tie: 結ぶ。tight: 固い。knot: 結び目（kは発音しない）	服
faded blue jeans	ˈfeɪdəd blu dʒinz	色あせたブルージーンズ	He prefers wearing faded blue jeans.	These faded blue jeans are my favorite.	fade: 色あせる	服
brown with white stripes	braʊn wɪð waɪt straɪps	白いストライプ（縞模様）が入った茶色	He wore a shirt that was brown with white stripes.	The cat is brown with white stripes.	stripe: 縞模様	服
a purple stain	ə ˈpɜrpəl steɪn	紫色のシミ（汚れ）	Wine left a purple stain on the carpet.	How can I remove this purple stain?	stain: シミ、汚れ	服
get an idea across	gɛt ən aɪˈdiə əˈkrɔs	考えを（相手に）伝える、わからせる	It's important to get an idea across clearly.	He struggled to get his idea across.	get across: （考えや意味などを）わからせる、伝える（put across とほぼ同じ）。	服
get out of the taxi	gɛt aʊt ʌv ðə ˈtæksi	タクシーから降りる	I will get out of the taxi here.	He got out of the taxi in a hurry.	車やタクシーなどの「かがんで乗る乗り物」から降りる時は get out of を使う。	大切な基本動詞
get on the bus	gɛt ɑn ðə bʌs	バスに乗る	Let's get on the bus before it leaves.	She got on the bus to go to school.	バスや電車、飛行機など「歩いて乗り込む・床の上に立つ乗り物」には get on を使う。	大切な基本動詞
get off the bus	gɛt ɔf ðə bʌs	バスから降りる	We need to get off the bus at the next stop.	He got off the train.	get on の反対。「（床から）離れる」イメージで get off を使う。	大切な基本動詞
get in the taxi	gɛt ɪn ðə ˈtæksi	タクシーに乗る	Hurry up and get in the taxi.	They got in the car.	車やタクシーなど「かがんで中に入る乗り物」には get in を使う。	大切な基本動詞
get through a test	gɛt θru ə tɛst	テストを切り抜ける（乗り切る）	I studied hard to get through a test.	He managed to get through the interview.	get through: （困難なことなどを）乗り切る、通過する	大切な基本動詞
get up at 8:30	gɛt ʌp æt eɪt-ˈθɜrti	8時30分に起きる	I usually get up at 8:30 on weekends.	She got up early today.	get up: 起き上がる、起床する。（wake upは「目を覚ます」）。	大切な基本動詞
propose a toast	prəˈpoʊz ə toʊst	乾杯の音頭をとる（乾杯を提案する）	I would like to propose a toast to the bride and groom.	He stood up to propose a toast.	toast: 乾杯、トースト。propose: 提案する	大切な基本動詞
split the bill	splɪt ðə bɪl	割り勘にする	Let's split the bill for dinner.	They always split the bill.	split: 分割する。bill: 勘定、請求書（go Dutch とも言う）。	パーティー／イベント
order the chef's specialty	ˈɔrdər ðə ʃɛfs ˈspɛʃəlti	シェフの特製料理（おすすめ）を注文する	I decided to order the chef's specialty.	The chef's specialty is roast beef.	specialty: 名物、特製、専門	パーティー／イベント
book a table	bʊk ə ˈteɪbəl	テーブル（席）を予約する	I need to book a table for two tonight.	She booked a table by the window.	book: 予約する（reserveと同義）。	パーティー／イベント
recommend a fancy restaurant	ˌrɛkəˈmɛnd ə ˈfænsi ˈrɛstəˌrɑnt	高級なレストランを勧める	Can you recommend a fancy restaurant?	He recommended a nice hotel.	recommend: 推薦する。fancy: 高級な、装飾的な	パーティー／イベント
host a party tonight	hoʊst ə ˈpɑrti təˈnaɪt	今夜パーティーを主催する	We will host a party tonight.	She hosted a dinner party.	host: 主催する、もてなす。	パーティー／イベント
enjoy an excellent meal	ɛnˈdʒɔɪ ən ˈɛksələnt mil	素晴らしい食事を楽しむ	We sat down to enjoy an excellent meal.	Thank you for an excellent meal.	excellent: 素晴らしい。meal: 食事	パーティー／イベント
perform a trick	pərˈfɔrm ə trɪk	手品（芸）を披露する	The magician will perform a trick.	The dog learned to perform a trick.	perform: 演じる、実行する。trick: 手品、芸、いたずら	パーティー／イベント
invite guests to dinner	ɪnˈvaɪt gɛsts tu ˈdɪnər	客を夕食に招待する	Let's invite guests to dinner this weekend.	He invited me to his wedding.	invite: 招待する。guest: 客	パーティー／イベント
pour a bottle of wine	pɔr ə ˈbɑtəl ʌv waɪn	1ボトルのワインを注ぐ	He will pour a bottle of wine for us.	She poured some tea into the cup.	pour: 注ぐ（発音は「ポア」）。	パーティー／イベント
cook a real feast	kʊk ə riəl fist	本当のごちそうを作る	My mother loves to cook a real feast on holidays.	They prepared a huge feast.	feast: ごちそう、祝宴	パーティー／イベント
receive a warm welcome	rɪˈsiv ə wɔrm ˈwɛlkəm	温かい歓迎を受ける	We received a warm welcome at the hotel.	They gave us a warm welcome.	receive: 受ける。welcome: 歓迎（名詞）	パーティー／イベント
electric bill / water bill / gas bill	ɪˈlɛktrɪk bɪl / ˈwɔtər bɪl / gæs bɪl	電気代 / 水道代 / ガス代	The electric bill is very high this month.	Don't forget to pay the water bill.	bill: 請求書、料金	パーティー／イベント
pay utilities	peɪ juˈtɪlətiz	光熱費を払う	I have to pay utilities by tomorrow.	Rent does not include utilities.	utilities: 公共料金（電気・ガス・水道などの総称）。	家のあこがれ
water the plants	ˈwɔtər ðə plænts	植物に水をやる	Please water the plants while I am away.	He watered the garden.	※19番の重複。water は動詞で「水をやる」。	家のあこがれ
a Phillips head / a flathead screwdriver	ə ˈfɪlɪps hɛd / ə ˈflætˌhɛd ˈskruˌdraɪvər	プラスドライバー / マイナスドライバー	Pass me a Phillips head screwdriver.	I need a flathead screwdriver to fix this.	プラスドライバー・マイナスドライバーは和製英語。英語では Phillips head / flathead と呼ぶ。	家のあこがれ
a welcome mat	ə ˈwɛlkəm mæt	（玄関の）ウェルカムマット、泥よけマット	There is a welcome mat at the door.	Wipe your shoes on the welcome mat.	mat: マット、敷物	家のあこがれ
sweep up dust	swip ʌp dʌst	ホコリを掃き集める	Use the broom to sweep up dust.	She swept up the broken glass.	sweep: （ほうきなどで）掃く（過去形 swept）。dust: ホコリ	家のあこがれ
hang a curtain rod	hæŋ ə ˈkɜrtən rɑd	カーテンレール（棒）を取り付ける（掛ける）	He helped me hang a curtain rod.	The curtain rod fell down.	hang: 掛ける。rod: 棒、竿	家のあこがれ
take away rubbish	teɪk əˈweɪ ˈrʌbɪʃ	ゴミを持ち去る（片付ける）	The truck will take away rubbish on Tuesday.	Please take away these empty boxes.	rubbish: ゴミ（主にイギリス英語。アメリカでは trash/garbage）。	家のあこがれ
a damp towel	ə dæmp ˈtaʊəl	湿ったタオル	Wipe the table with a damp towel.	My clothes are still damp.	damp: 湿った、ジメジメした（wetより水分が少ない）。	家のあこがれ
a bar of soap	ə bɑr ʌv soʊp	石鹸1個	I bought a new bar of soap.	Wash your hands with a bar of soap.	soapは不可算名詞なので、数えるときは a bar of (固形) や a bottle of (液体) を使う。	家のあこがれ
a basket made by hand	ə ˈbæskət meɪd baɪ hænd	手作りのバスケット	She bought a beautiful basket made by hand.	These items are made by hand.	made by hand: 手作りで（handmade と同義）。	家のあこがれ
get rid of insects	gɛt rɪd ʌv ˈɪnsɛkts	虫を駆除する（取り除く）	We used spray to get rid of insects.	I want to get rid of these old clothes.	get rid of: 〜を取り除く、処分する。insect: 昆虫	家のあこがれ
cut grass	kʌt græs	草を刈る	It is my job to cut grass on weekends.	The gardener is cutting grass.	grass: 草、芝生（mow the lawnで「芝生を刈る」）。	家のあこがれ
use an axe to split logs	juz ən æks tu splɪt lɔgz	斧を使って丸太を割る	He knows how to use an axe to split logs.	The lumberjack swung the axe.	axe: 斧。log: 丸太	家のあこがれ
an enclosed garden	ən ɪnˈkloʊzd ˈgɑrdən	囲まれた庭	The house has an enclosed garden.	They kept the dog in an enclosed area.	enclosed: 囲まれた、同封された（encloseの過去分詞）。	家のあこがれ
furnished in modern style	ˈfɜrnɪʃt ɪn ˈmɑdərn staɪl	モダンスタイルで家具が備え付けられた	The room is furnished in modern style.	They rented a fully furnished apartment.	furnished: 家具付きの。furniture（家具）の動詞形。	家のあこがれ
a brass ornament	ə bræs ˈɔrnəmənt	真鍮（しんちゅう）の飾り	There is a brass ornament on the shelf.	She polished the brass ornament.	brass: 真鍮（ブラスバンドのブラス）。ornament: 装飾品	家のあこがれ
pay high rent	peɪ haɪ rɛnt	高い家賃を払う	It is hard to pay high rent in the city.	They pay high rent for this apartment.	rent: 家賃、賃貸料	家のあこがれ
fix the roof	fɪks ðə ruf	屋根を修理する	We have to fix the roof before it rains.	The storm damaged the roof.	fix: 修理する（repairと同義）、固定する。	家のあこがれ
Don't touch the stove!	doʊnt tʌtʃ ðə stoʊv	ストーブ（コンロ）に触らないで！	It's hot. Don't touch the stove!	She turned on the gas stove.	stove: コンロ、暖炉、ストーブ。（料理用のコンロもstoveと呼ぶ）	家のあこがれ
melt in a warm room	mɛlt ɪn ə wɔrm rum	暖かい部屋で溶ける	The ice cream will melt in a warm room.	Snow melts quickly in spring.	melt: 溶ける、溶かす	家のあこがれ
walk up stairs	wɔk ʌp stɛrz	階段を歩いて上がる	I have to walk up stairs to my apartment.	He walked down the stairs.	stairs: 階段（通常複数形）。	家のあこがれ
a mouse in a cage	ə maʊs ɪn ə keɪdʒ	ケージ（かご）の中のネズミ	He keeps a mouse in a cage as a pet.	The bird escaped from the cage.	mouseの複数形はmice。cage: かご、檻	家のあこがれ
a brown brick house	ə braʊn brɪk haʊs	茶色いレンガの家	They live in a brown brick house.	The wall is made of brick.	brick: レンガ	家のあこがれ
the scent of roses	ðə sɛnt ʌv ˈroʊzəz	バラの香り	The room was filled with the scent of roses.	I love the sweet scent of this perfume.	scent: 香り、匂い（においの中でも良い香りを指すことが多い）。	家のあこがれ
a straw roof	ə strɔ ruf	わらぶき屋根	The old cabin has a straw roof.	They drank juice through a straw.	straw: わら、ストロー	家のあこがれ
property in an urban area	ˈprɑpərti ɪn ən ˈɜrbən ˈɛriə	都市部の不動産（財産）	He owns property in an urban area.	The price of property is increasing.	property: 財産、不動産、特性。urban: 都市の（反対語は rural）。	家のあこがれ
surrounded by nature	səˈraʊndəd baɪ ˈneɪtʃər	自然に囲まれて	The hotel is completely surrounded by nature.	I want to live in a place surrounded by nature.	surround: 囲む。be surrounded by: 〜に囲まれている	家のあこがれ
be accustomed to quiet	bi əˈkʌstəmd tu ˈkwaɪət	静けさに慣れている	I grew up in the country and am accustomed to quiet.	He is accustomed to waking up early.	be accustomed to: 〜に慣れている（be used to と同義）。	家のあこがれ
a dirt path	ə dɜrt pæθ	未舗装の道（土の道）	We walked along a dirt path.	The bicycle left tracks on the dirt path.	dirt: 土、泥、汚れ。path: 小道	家のあこがれ
smoke coming from the chimney	smoʊk ˈkʌmɪŋ frʌm ðə ˈtʃɪmni	煙突から出ている煙	I saw smoke coming from the chimney.	Santa Claus comes down the chimney.	chimney: 煙突	家のあこがれ
a tool to repair a machine	ə tul tu rɪˈpɛr ə məˈʃin	機械を修理するための道具	He needs a tool to repair a machine.	A hammer is a useful tool.	tool: 道具、工具	家のあこがれ
hunt for a pair of scissors	hʌnt fɔr ə pɛr ʌv ˈsɪzərz	ハサミを探し回る	I had to hunt for a pair of scissors.	He is hunting for a new job.	hunt for: 〜を（狩るように）探し回る	家のあこがれ
goat	goʊt	ヤギ	We saw a goat on the farm.	Goat cheese is very delicious.		動物／農業
